City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kashary,RU,2021-04-05 04:50:51,49.04,41.0056,41.11,73,99,5.77,overcast clouds
80,Lazaro Cardenas,MX,2021-04-05 04:50:52,17.9583,-102.2,75.25,71,34,1.74,scattered clouds
81,Tuktoyaktuk,CA,2021-04-05 04:50:52,69.4541,-133.0374,12.2,92,75,9.22,light snow
82,Luderitz,NA,2021-04-05 04:50:52,-26.6481,15.1594,68.23,66,37,14.2,scattered clouds
83,Deputatskiy,RU,2021-04-05 04:50:53,69.3,139.9,1.69,86,100,3.8,overcast clouds
84,Georgetown,MY,2021-04-05 04:50:53,5.4112,100.3354,89.01,70,40,5.75,scattered clouds
85,Sedhiou,SN,2021-04-05 04:50:53,12.7081,-15.5569,72.32,60,100,4.05,overcast clouds
86,Verkhnevilyuysk,RU,2021-04-05 04:50:53,63.4453,120.3167,4.53,76,100,7.81,overcast clouds
87,Diamantina,BR,2021-04-05 04:50:54,-18.2494,-43.6003,59.32,96,63,4.97,broken clouds
88,Comodoro Rivadavia,AR,2021-04-05 04:50:54,-45.8667,-67.5,57.2,77,0,6.91,clear sky
89,Snasa,NO,2021-04-05 04:50:54,64.2457,12.3778,29.71,79,87,10.51,snow
90,Puerto Escondido,MX,2021-04-05 04:47:53,15.85,-97.0667,78.13,76,35,5.14,scattered clouds
91,Hobart,AU,2021-04-05 04:49:05,-42.8794,147.3294,70.0,43,20,8.05,few clouds
92,Sompeta,IN,2021-04-05 04:50:55,18.9333,84.6,87.1,61,2,8.05,clear sky
93,Along,IN,2021-04-05 04:50:55,28.1667,94.7667,89.42,20,73,1.52,broken clouds
94,Pevek,RU,2021-04-05 04:50:55,69.7008,170.3133,-4.79,91,92,2.8,overcast clouds
95,Gao,ML,2021-04-05 04:50:55,16.6362,1.637,75.99,7,4,9.37,clear sky
96,Dunmore Town,BS,2021-04-05 04:50:56,25.5,-76.65,68.88,54,100,14.34,overcast clouds
97,Hirara,JP,2021-04-05 04:50:56,24.8,125.2833,71.6,56,75,16.11,broken clouds
98,Ribeira Grande,PT,2021-04-05 04:50:56,38.5167,-28.7,60.8,82,85,16.15,overcast clouds
99,Bengkulu,ID,2021-04-05 04:49:16,-3.8004,102.2655,85.24,61,98,12.19,overcast clouds
